state,year_month,enrolments_sum,enrolments_mean,enrolments_std,updates_sum,mom_growth,update_ratio,z_score,is_anomaly,anomaly_score
Delhi,2023-01,140132,4520.387096774193,1053.2376964205612,27812,,0.19847001398681244,0.06788247239097588,0,0.3928108630868811
Delhi,2023-02,98489,3517.464285714286,891.6282850365665,17892,-0.2971698113207547,0.18166495750794506,-0.6161244957966494,1,0.5201092872390471
Delhi,2023-03,110940,3578.7096774193546,810.5716169695056,21631,0.1264202093634823,0.19497926807283217,-0.41161063366125755,0,0.43276246396403767
Delhi,2023-04,134507,4483.566666666667,1077.70220707134,27758,0.21243014241932578,0.20636844179113353,-0.024510947777008952,0,0.40694722230053826
Delhi,2023-05,113772,3670.064516129032,729.0289402341479,23768,-0.15415554580802482,0.20890904616250044,-0.3650936263873495,0,0.41611590679793276
Delhi,2023-06,322792,10759.733333333334,2305.4405807273297,72567,1.8371831382062371,0.224810404223153,3.068163739570373,1,0.7109085438700995
Delhi,2023-07,139628,4504.129032258064,968.6196619222457,27789,-0.5674366155295051,0.19902168619474603,0.05960402194392444,0,0.4667707277661134
Delhi,2023-08,113176,3650.8387096774195,681.4128017961013,21479,-0.1894462428739221,0.1897840531561462,-0.3748832225509262,0,0.42147264500150927
Delhi,2023-09,104968,3498.9333333333334,803.7814050638624,22919,-0.07252421007987564,0.2183427330233976,-0.5097037012600496,0,0.4798423849810587
Delhi,2023-10,141634,4568.8387096774195,1040.2882644336037,30713,0.34930645530066307,0.21684764957566685,0.09255356876294267,0,0.49063469285575434
Delhi,2023-11,105834,3527.8,777.2497224409173,21003,-0.25276416679610825,0.198452293213901,-0.4954792209284097,0,0.40552333035961285
Delhi,2023-12,106119,3423.1935483870966,796.483873841977,21493,0.0026928964226997643,0.20253677475287177,-0.4907979543065651,0,0.3966707238264591
Karnataka,2023-01,214251,6911.322580645161,1451.5619262733683,43526,,0.2031542443209133,1.0153477319307505,0,0.39342536623047203
Karnataka,2023-02,149129,5326.035714285715,1065.4300985862683,28307,-0.3039519068755805,0.18981552883744945,-0.44101361174761017,0,0.40787842315373446
Karnataka,2023-03,167237,5394.741935483871,1119.9099358949045,35299,0.12142507493512333,0.21107171259948457,-0.0360538253263124,0,0.40853509638808383
Karnataka,2023-04,201839,6727.966666666666,1411.5085225372895,40759,0.2069039745989225,0.20193817844915998,0.7377709222852264,0,0.41203742345887046
Karnataka,2023-05,165454,5337.225806451613,1159.4769139480502,33830,-0.18026744088109825,0.20446770703639683,-0.07592809632195929,0,0.38519989864332493
Karnataka,2023-06,161097,5369.9,1060.1566361172524,34173,-0.026333603297593267,0.2121268552487011,-0.17336623357828768,0,0.40844747772099077
Karnataka,2023-07,211021,6807.129032258064,1540.1843123889532,40285,0.3099002464353775,0.19090517057544035,0.9431133542998253,0,0.45462311647680254
Karnataka,2023-08,167886,5415.677419354839,1048.712588116076,30493,-0.20441093540453315,0.18162920076718725,-0.021539859046909804,0,0.4833927364336616
Karnataka,2023-09,48391,1613.0333333333333,396.35646472138785,9691,-0.7117627437666035,0.20026451199603232,-2.6938763776250507,1,0.6977441326448264
Karnataka,2023-10,213819,6897.387096774193,1356.7417999855231,42599,3.4185695687214563,0.19922925464996094,1.0056866634674193,1,0.63767579966571
Karnataka,2023-11,162028,5400.933333333333,1155.5258523297084,31518,-0.24221888606718767,0.19452193448046018,-0.1525457364964328,0,0.39808203050020313
Karnataka,2023-12,164038,5291.548387096775,1208.2395689241348,30661,0.012405263287826873,0.18691400772991623,-0.10759493184065587,0,0.43088971877633847
Maharashtra,2023-01,288151,9295.193548387097,1940.357414144017,55975,,0.1942557894992556,0.23805102582033977,0,0.4327510304241698
Maharashtra,2023-02,198816,7100.571428571428,1495.469440196237,43911,-0.310028422597874,0.22086250603573154,-0.6750048343705783,0,0.48732925381844994
Maharashtra,2023-03,557214,17974.645161290322,3603.5077405993097,111956,1.802661757605022,0.2009210105991594,2.9880319841295018,1,0.7167746844113958
Maharashtra,2023-04,270573,9019.1,2000.1198300308804,56112,-0.5144181589120158,0.20738211129713607,0.0583936025211182,0,0.46082490427277134
Maharashtra,2023-05,221914,7158.5161290322585,1386.74854416047,44957,-0.17983686472781835,0.20258748884703084,-0.4389297880987943,0,0.37552073238691497
Maharashtra,2023-06,215160,7172.0,1463.4594583407143,43005,-0.030435213641320513,0.19987451199107642,-0.5079596115692085,0,0.37194979319646043
Maharashtra,2023-07,282731,9120.354838709678,2019.5945228087596,57498,0.31405000929540816,0.20336645079598628,0.1826554612349614,0,0.4196386458629468
Maharashtra,2023-08,220974,7128.193548387097,1407.1436889281504,45323,-0.21843023934411154,0.20510557803180465,-0.44853713693832487,0,0.3778351452647749
Maharashtra,2023-09,211328,7044.266666666666,1590.5888290153762,41047,-0.04365219437580892,0.19423360841913992,-0.5471248889661035,0,0.3861399153947419
Maharashtra,2023-10,283058,9130.90322580645,1904.723240698216,60506,0.339424969715324,0.21375831101752998,0.1859975921610534,0,0.47926595866300453
Maharashtra,2023-11,212536,7084.533333333334,1435.5160488259203,39202,-0.2491432851217772,0.18444875221139007,-0.5347784236489195,0,0.4599912292299507
Maharashtra,2023-12,215861,6963.258064516129,1447.735794674842,43399,0.01564440847668158,0.20105067612954633,-0.500794982275048,0,0.3698888758825553
Tamil Nadu,2023-01,250858,8092.193548387097,1777.1929067934602,48580,,0.1936553747538448,1.440962236898512,0,0.44288216703357014
Tamil Nadu,2023-02,172524,6161.571428571428,1432.8026518517613,36372,-0.31226430889188306,0.21082284203936844,-1.1639714633376437,0,0.4687771226586544
