date,state,district,enrolment_count,update_count,Age_Group_0_18,Age_Group_19_40,Age_Group_41_60,Age_Group_60_Plus,year,month,day_of_week,is_weekend,year_month
2023-01-01,Maharashtra,Maharashtra_District,6628,1638,1657,2982,1458,530,2023,1,6,1,2023-01
2023-01-01,Uttar Pradesh,Uttar_District,8909,2053,2227,4009,1959,712,2023,1,6,1,2023-01
2023-01-01,Karnataka,Karnataka_District,4751,972,1187,2137,1045,380,2023,1,6,1,2023-01
2023-01-01,Tamil Nadu,Tamil_District,5447,1519,1361,2451,1198,435,2023,1,6,1,2023-01
2023-01-01,Delhi,Delhi_District,3361,937,840,1512,739,268,2023,1,6,1,2023-01
2023-01-01,West Bengal,West_District,3446,754,861,1550,758,275,2023,1,6,1,2023-01
2023-01-02,Maharashtra,Maharashtra_District,10260,2928,2565,4617,2257,820,2023,1,0,0,2023-01
2023-01-02,Uttar Pradesh,Uttar_District,15623,4004,3905,7030,3437,1249,2023,1,0,0,2023-01
2023-01-02,Karnataka,Karnataka_District,7462,1771,1865,3357,1641,596,2023,1,0,0,2023-01
2023-01-02,Tamil Nadu,Tamil_District,9381,2710,2345,4221,2063,750,2023,1,0,0,2023-01
2023-01-02,Delhi,Delhi_District,5477,646,1369,2464,1204,438,2023,1,0,0,2023-01
2023-01-02,West Bengal,West_District,6629,748,1657,2983,1458,530,2023,1,0,0,2023-01
2023-01-03,Maharashtra,Maharashtra_District,10066,1460,2516,4529,2214,805,2023,1,1,0,2023-01
2023-01-03,Uttar Pradesh,Uttar_District,15385,4172,3846,6923,3384,1230,2023,1,1,0,2023-01
2023-01-03,Karnataka,Karnataka_District,7550,981,1887,3397,1661,604,2023,1,1,0,2023-01
2023-01-03,Tamil Nadu,Tamil_District,9330,1607,2332,4198,2052,746,2023,1,1,0,2023-01
2023-01-03,Delhi,Delhi_District,5335,1173,1333,2400,1173,426,2023,1,1,0,2023-01
2023-01-03,West Bengal,West_District,6514,843,1628,2931,1433,521,2023,1,1,0,2023-01
2023-01-04,Maharashtra,Maharashtra_District,10183,1641,2545,4582,2240,814,2023,1,2,0,2023-01
2023-01-04,Uttar Pradesh,Uttar_District,15717,1698,3929,7072,3457,1257,2023,1,2,0,2023-01
2023-01-04,Karnataka,Karnataka_District,8020,2287,2005,3609,1764,641,2023,1,2,0,2023-01
2023-01-04,Tamil Nadu,Tamil_District,8866,1601,2216,3989,1950,709,2023,1,2,0,2023-01
2023-01-04,Delhi,Delhi_District,5074,529,1268,2283,1116,405,2023,1,2,0,2023-01
2023-01-04,West Bengal,West_District,6543,1668,1635,2944,1439,523,2023,1,2,0,2023-01
2023-01-05,Maharashtra,Maharashtra_District,10096,1674,2524,4543,2221,807,2023,1,3,0,2023-01
2023-01-05,Uttar Pradesh,Uttar_District,15727,4139,3931,7077,3459,1258,2023,1,3,0,2023-01
2023-01-05,Karnataka,Karnataka_District,7751,1440,1937,3487,1705,620,2023,1,3,0,2023-01
2023-01-05,Tamil Nadu,Tamil_District,8862,1163,2215,3987,1949,708,2023,1,3,0,2023-01
2023-01-05,Delhi,Delhi_District,5495,810,1373,2472,1208,439,2023,1,3,0,2023-01
2023-01-05,West Bengal,West_District,6664,734,1666,2998,1466,533,2023,1,3,0,2023-01
2023-01-06,Maharashtra,Maharashtra_District,10130,2981,2532,4558,2228,810,2023,1,4,0,2023-01
2023-01-06,Uttar Pradesh,Uttar_District,15788,2036,3947,7104,3473,1263,2023,1,4,0,2023-01
2023-01-06,Karnataka,Karnataka_District,7615,2196,1903,3426,1675,609,2023,1,4,0,2023-01
2023-01-06,Tamil Nadu,Tamil_District,9285,2459,2321,4178,2042,742,2023,1,4,0,2023-01
2023-01-06,Delhi,Delhi_District,4789,585,1197,2155,1053,383,2023,1,4,0,2023-01
2023-01-06,West Bengal,West_District,6971,1086,1742,3136,1533,557,2023,1,4,0,2023-01
2023-01-07,Maharashtra,Maharashtra_District,6495,1245,1623,2922,1428,519,2023,1,5,1,2023-01
2023-01-07,Uttar Pradesh,Uttar_District,9596,1073,2399,4318,2111,767,2023,1,5,1,2023-01
2023-01-07,Karnataka,Karnataka_District,4795,1260,1198,2157,1054,383,2023,1,5,1,2023-01
2023-01-07,Tamil Nadu,Tamil_District,5833,1672,1458,2624,1283,466,2023,1,5,1,2023-01
2023-01-07,Delhi,Delhi_District,2734,655,683,1230,601,218,2023,1,5,1,2023-01
2023-01-07,West Bengal,West_District,3787,499,946,1704,833,302,2023,1,5,1,2023-01
2023-01-08,Maharashtra,Maharashtra_District,6669,954,1667,3001,1467,533,2023,1,6,1,2023-01
2023-01-08,Uttar Pradesh,Uttar_District,9560,1942,2390,4302,2103,764,2023,1,6,1,2023-01
2023-01-08,Karnataka,Karnataka_District,4957,1350,1239,2230,1090,396,2023,1,6,1,2023-01
2023-01-08,Tamil Nadu,Tamil_District,5574,1625,1393,2508,1226,445,2023,1,6,1,2023-01
2023-01-08,Delhi,Delhi_District,2686,633,671,1208,590,214,2023,1,6,1,2023-01
2023-01-08,West Bengal,West_District,4205,740,1051,1892,925,336,2023,1,6,1,2023-01
2023-01-09,Maharashtra,Maharashtra_District,10691,3178,2672,4810,2352,855,2023,1,0,0,2023-01
2023-01-09,Uttar Pradesh,Uttar_District,15241,2580,3810,6858,3353,1219,2023,1,0,0,2023-01
2023-01-09,Karnataka,Karnataka_District,8286,2436,2071,3728,1822,662,2023,1,0,0,2023-01
2023-01-09,Tamil Nadu,Tamil_District,8702,1759,2175,3915,1914,696,2023,1,0,0,2023-01
2023-01-09,Delhi,Delhi_District,5652,1684,1413,2543,1243,452,2023,1,0,0,2023-01
2023-01-09,West Bengal,West_District,6752,1441,1688,3038,1485,540,2023,1,0,0,2023-01
2023-01-10,Maharashtra,Maharashtra_District,10770,1546,2692,4846,2369,861,2023,1,1,0,2023-01
2023-01-10,Uttar Pradesh,Uttar_District,15183,1919,3795,6832,3340,1214,2023,1,1,0,2023-01
2023-01-10,Karnataka,Karnataka_District,7945,870,1986,3575,1747,635,2023,1,1,0,2023-01
2023-01-10,Tamil Nadu,Tamil_District,8704,1937,2176,3916,1914,696,2023,1,1,0,2023-01
2023-01-10,Delhi,Delhi_District,5091,981,1272,2290,1120,407,2023,1,1,0,2023-01
2023-01-10,West Bengal,West_District,6822,903,1705,3069,1500,545,2023,1,1,0,2023-01
2023-01-11,Maharashtra,Maharashtra_District,10458,2958,2614,4706,2300,836,2023,1,2,0,2023-01
2023-01-11,Uttar Pradesh,Uttar_District,15269,4113,3817,6871,3359,1221,2023,1,2,0,2023-01
